"","Date","Address","Type","Total","Unit","Building","Area","Age","Floor","Pattern","District","Year","month","MRT","Room","Hall","Bath"
"3080","105年07月","大同區五原路1~30號                                
                                                                            ","套房",786,70.3,11.18,1.07,6.6,11,"0房/0廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 中山站 》                                
                                                                
                                    近捷運 雙連站 》                                
                                                                                                
                                    社區 時尚之星 》",0,0,1
"3081","105年07月","大同區赤峰街47巷1~30號                                
                                                                            ","公寓",1600,62,25.81,17.09,NA,2,"1房/0廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 雙連站 》                                
                                                                
                                    近捷運 中山站 》",1,0,1
"3082","105年07月","大同區民族西路187巷31~60號                                
                                                                            ","公寓",493,20,24.71,8.24,40.2,4,"3房/1廳/2衛","大同",105,7,"",3,1,2
"3083","105年07月","大同區承德路三段211~240號                                
                                                                            ","純車位",236,NA,11.51,0.52,22.1,-3,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 圓山站 》",0,0,0
"3084","105年07月","大同區錦西街61~90號                                
                                                                            ","公寓",1005,58.6,17.15,4.61,39.5,2,"0房/1廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 民權西路站 》                                
                                                                
                                    近捷運 雙連站 》",0,1,1
"3085","105年07月","大同區重慶北路二段181~210號                                
                                                                            ","套房",720,70.6,10.2,0.84,31.7,8,"1房/1廳/1衛","大同",105,7,"                                                    
                                                                
                                    近捷運 大橋頭站 》                                
                                                                                                
                                    社區 重慶大樓 》",1,1,1
"3086","105年07月","大同區延平北路一段61~90號                                
                                                                            ","住宅大樓",3299,63.4,52.07,5.77,1.2,3,"3房/2廳/2衛","大同",105,7,"                                                    
                                                                
                                    近捷運 北門站 》                                
                                                                                                
                                    社區 常殷品天廈 》",3,2,2
"3087","105年07月","大同區延平北路一段61~90號                                
                                                                            ","純車位",100,NA,0.84,0.06,1.2,2,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 北門站 》",0,0,0
"3088","105年07月","大同區承德路三段208巷31~60號                                
                                                                            ","純車位",225,NA,8.54,0.41,33.1,0,"0房/0廳/0衛","大同",105,7,"                                                    
                                                                
                                    近捷運 圓山站 》",0,0,0
"3089","105年07月","大同區重慶北路二段91~120號                                
                                                                            ","透天厝",366,48.6,7.55,2.51,NA,1,"8房/4廳/4衛","大同",105,7,"",8,4,4
"3090","107年05月","中山區明水路541~570號                                
                                                                            ","純車位",98,NA,8.48,0.5,NA,0,"0房/0廳/0衛","中山",107,5,"                                                    
                                                                
                                    近捷運 大直站 》",0,0,0
